Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;42,9
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;36,8
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2025;""
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2024;..
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2023;31,9
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2022;""
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2021;34,3
Total Nacional;Asturias, Principado de;Usar hojas de cálculo;2020;32,6
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2025;""
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2024;..
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2023;7,1
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2022;""
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2021;6,5
Total Nacional;Asturias, Principado de;Programar en un lenguaje de programación;2020;5,1
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2023;77,2
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2021;75,6
Total Nacional;Balears, Illes;Utilizar al menos un conocimiento informático;2020;72,4
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Balears, Illes;Transferir ficheros entre el ordenador y otros dispositivos;2020;49,8
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2023;63,8
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2021;62,9
Total Nacional;Balears, Illes;Instalar o configurar software o aplicaciones (apps);2020;59
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2023;63,5
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2021;62,7
Total Nacional;Balears, Illes;Copiar o mover ficheros o carpetas;2020;60,4
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;48,2
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;46
Total Nacional;Balears, Illes;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;38,7
Total Nacional;Balears, Illes;Usar hojas de cálculo;2025;""
Total Nacional;Balears, Illes;Usar hojas de cálculo;2024;..
Total Nacional;Balears, Illes;Usar hojas de cálculo;2023;41,7
Total Nacional;Balears, Illes;Usar hojas de cálculo;2022;""
Total Nacional;Balears, Illes;Usar hojas de cálculo;2021;42,5
Total Nacional;Balears, Illes;Usar hojas de cálculo;2020;41,5
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2025;""
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2024;..
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2023;7
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2022;""
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2021;8,5
Total Nacional;Balears, Illes;Programar en un lenguaje de programación;2020;4,7
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2023;76,8
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2021;79,2
Total Nacional;Canarias;Utilizar al menos un conocimiento informático;2020;69,4
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Canarias;Transferir ficheros entre el ordenador y otros dispositivos;2020;49,1
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2023;65,9
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2021;67,8
Total Nacional;Canarias;Instalar o configurar software o aplicaciones (apps);2020;58,1
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2023;63,3
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2021;63,7
Total Nacional;Canarias;Copiar o mover ficheros o carpetas;2020;59,1
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;48,8
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;48,2
Total Nacional;Canarias;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;45,7
Total Nacional;Canarias;Usar hojas de cálculo;2025;""
Total Nacional;Canarias;Usar hojas de cálculo;2024;..
Total Nacional;Canarias;Usar hojas de cálculo;2023;36,8
Total Nacional;Canarias;Usar hojas de cálculo;2022;""
Total Nacional;Canarias;Usar hojas de cálculo;2021;38,5
Total Nacional;Canarias;Usar hojas de cálculo;2020;35,8
Total Nacional;Canarias;Programar en un lenguaje de programación;2025;""
Total Nacional;Canarias;Programar en un lenguaje de programación;2024;..
Total Nacional;Canarias;Programar en un lenguaje de programación;2023;11,4
Total Nacional;Canarias;Programar en un lenguaje de programación;2022;""
Total Nacional;Canarias;Programar en un lenguaje de programación;2021;6,9
Total Nacional;Canarias;Programar en un lenguaje de programación;2020;8
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2023;75,6
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2021;72,5
Total Nacional;Cantabria;Utilizar al menos un conocimiento informático;2020;64,9
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Cantabria;Transferir ficheros entre el ordenador y otros dispositivos;2020;48,3
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2023;61,9
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2021;60,6
Total Nacional;Cantabria;Instalar o configurar software o aplicaciones (apps);2020;50
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2023;61,4
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2021;62,1
Total Nacional;Cantabria;Copiar o mover ficheros o carpetas;2020;53,6
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;46
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;44,7
Total Nacional;Cantabria;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;36,6
Total Nacional;Cantabria;Usar hojas de cálculo;2025;""
Total Nacional;Cantabria;Usar hojas de cálculo;2024;..
Total Nacional;Cantabria;Usar hojas de cálculo;2023;36,4
Total Nacional;Cantabria;Usar hojas de cálculo;2022;""
Total Nacional;Cantabria;Usar hojas de cálculo;2021;39,8
Total Nacional;Cantabria;Usar hojas de cálculo;2020;31,4
Total Nacional;Cantabria;Programar en un lenguaje de programación;2025;""
Total Nacional;Cantabria;Programar en un lenguaje de programación;2024;..
Total Nacional;Cantabria;Programar en un lenguaje de programación;2023;5,9
Total Nacional;Cantabria;Programar en un lenguaje de programación;2022;""
Total Nacional;Cantabria;Programar en un lenguaje de programación;2021;10
Total Nacional;Cantabria;Programar en un lenguaje de programación;2020;4,2
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2023;75,3
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2021;75,1
Total Nacional;Castilla y León;Utilizar al menos un conocimiento informático;2020;72
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Castilla y León;Transferir ficheros entre el ordenador y otros dispositivos;2020;53,2
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2024;..
