Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;País Vasco;Usar hojas de cálculo;2021;42,5
Total Nacional;País Vasco;Usar hojas de cálculo;2020;41,5
Total Nacional;País Vasco;Programar en un lenguaje de programación;2025;""
Total Nacional;País Vasco;Programar en un lenguaje de programación;2024;..
Total Nacional;País Vasco;Programar en un lenguaje de programación;2023;8,7
Total Nacional;País Vasco;Programar en un lenguaje de programación;2022;""
Total Nacional;País Vasco;Programar en un lenguaje de programación;2021;6,8
Total Nacional;País Vasco;Programar en un lenguaje de programación;2020;6,4
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2023;76,7
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2021;76,7
Total Nacional;Rioja, La;Utilizar al menos un conocimiento informático;2020;70,1
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Rioja, La;Transferir ficheros entre el ordenador y otros dispositivos;2020;51,5
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2023;64
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2021;62,4
Total Nacional;Rioja, La;Instalar o configurar software o aplicaciones (apps);2020;59
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2023;58,9
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2021;64,5
Total Nacional;Rioja, La;Copiar o mover ficheros o carpetas;2020;57,8
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;47,1
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;47,3
Total Nacional;Rioja, La;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;37,3
Total Nacional;Rioja, La;Usar hojas de cálculo;2025;""
Total Nacional;Rioja, La;Usar hojas de cálculo;2024;..
Total Nacional;Rioja, La;Usar hojas de cálculo;2023;40
Total Nacional;Rioja, La;Usar hojas de cálculo;2022;""
Total Nacional;Rioja, La;Usar hojas de cálculo;2021;37,8
Total Nacional;Rioja, La;Usar hojas de cálculo;2020;37,6
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2025;""
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2024;..
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2023;7,9
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2022;""
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2021;4,5
Total Nacional;Rioja, La;Programar en un lenguaje de programación;2020;6,5
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2023;77,8
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2021;68
Total Nacional;Ceuta;Utilizar al menos un conocimiento informático;2020;72
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Ceuta;Transferir ficheros entre el ordenador y otros dispositivos;2020;47,4
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2023;69,3
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2021;61,6
Total Nacional;Ceuta;Instalar o configurar software o aplicaciones (apps);2020;50,7
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2023;58
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2021;54,5
Total Nacional;Ceuta;Copiar o mover ficheros o carpetas;2020;49,4
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;45,7
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;45,1
Total Nacional;Ceuta;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;49,3
Total Nacional;Ceuta;Usar hojas de cálculo;2025;""
Total Nacional;Ceuta;Usar hojas de cálculo;2024;..
Total Nacional;Ceuta;Usar hojas de cálculo;2023;27,7
Total Nacional;Ceuta;Usar hojas de cálculo;2022;""
Total Nacional;Ceuta;Usar hojas de cálculo;2021;51,3
Total Nacional;Ceuta;Usar hojas de cálculo;2020;38,2
Total Nacional;Ceuta;Programar en un lenguaje de programación;2025;""
Total Nacional;Ceuta;Programar en un lenguaje de programación;2024;..
Total Nacional;Ceuta;Programar en un lenguaje de programación;2023;3
Total Nacional;Ceuta;Programar en un lenguaje de programación;2022;""
Total Nacional;Ceuta;Programar en un lenguaje de programación;2021;3,8
Total Nacional;Ceuta;Programar en un lenguaje de programación;2020;8,4
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2023;81,4
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2021;91,6
Total Nacional;Melilla;Utilizar al menos un conocimiento informático;2020;66,2
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Melilla;Transferir ficheros entre el ordenador y otros dispositivos;2020;33,8
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2023;60,5
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2021;73
Total Nacional;Melilla;Instalar o configurar software o aplicaciones (apps);2020;49,2
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2023;69,6
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2021;66,2
Total Nacional;Melilla;Copiar o mover ficheros o carpetas;2020;58
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;54,1
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;68,1
Total Nacional;Melilla;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;33,1
Total Nacional;Melilla;Usar hojas de cálculo;2025;""
Total Nacional;Melilla;Usar hojas de cálculo;2024;..
Total Nacional;Melilla;Usar hojas de cálculo;2023;43
Total Nacional;Melilla;Usar hojas de cálculo;2022;""
Total Nacional;Melilla;Usar hojas de cálculo;2021;52,5
Total Nacional;Melilla;Usar hojas de cálculo;2020;21,2
Total Nacional;Melilla;Programar en un lenguaje de programación;2025;""
Total Nacional;Melilla;Programar en un lenguaje de programación;2024;..
Total Nacional;Melilla;Programar en un lenguaje de programación;2023;4,5
Total Nacional;Melilla;Programar en un lenguaje de programación;2022;""
Total Nacional;Melilla;Programar en un lenguaje de programación;2021;12,1
Total Nacional;Melilla;Programar en un lenguaje de programación;2020;..
